Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.432604973965, 0.64592, 1.24057425499, 0.970731694221
1, 0.472457634793, 0.66992, 0.950833265305, 0.840708585739
2, 0.467868713759, 0.6992, 0.86017615366, 0.807957103252
3, 0.598416802888, 0.73728, 0.799555296898, 0.722391795635
4, 0.549697124668, 0.74032, 0.759006589413, 0.684967674732
5, 0.593048206126, 0.71696, 0.75197765398, 0.740520199299
6, 0.601991751946, 0.75488, 0.711809597015, 0.679641637325
7, 0.574130309535, 0.76576, 0.678021750927, 0.627227505207
8, 0.626421742381, 0.77408, 0.661804543257, 0.608155927181
9, 0.633146338618, 0.7816, 0.652431596518, 0.602295536995
10, 0.588889032021, 0.77488, 0.640566478014, 0.603733408451
11, 0.583762918504, 0.75504, 0.619484063148, 0.680987904072
12, 0.621729099086, 0.77712, 0.625661696672, 0.612433715343
13, 0.652426245791, 0.7968, 0.618581798792, 0.564118887424
14, 0.649332428791, 0.79616, 0.606913493156, 0.557889971733
15, 0.652268719835, 0.79808, 0.591212699652, 0.551266224384
16, 0.658597827586, 0.79792, 0.61533500886, 0.56511866951
17, 0.667062732458, 0.80912, 0.593919989109, 0.537126358509
18, 0.668914303719, 0.80576, 0.583597827911, 0.527129278183
19, 0.650128974764, 0.79728, 0.578418403149, 0.554479545116
20, 0.658741697845, 0.7992, 0.574134989977, 0.547583640099
21, 0.66538797644, 0.81168, 0.579258880138, 0.521136888981
22, 0.620310417791, 0.80288, 0.574965262175, 0.537949306488
23, 0.672002479523, 0.80128, 0.596402223587, 0.539912356615
24, 0.691932235688, 0.8088, 0.571261378527, 0.520271331072
25, 0.663984904678, 0.78368, 0.562394165516, 0.590177885771
26, 0.683678339014, 0.81216, 0.579761573792, 0.534681495905
27, 0.690015261899, 0.81712, 0.546873488665, 0.512819238186
28, 0.688935604792, 0.81728, 0.563596543312, 0.501404312134
29, 0.642350914952, 0.78016, 0.555892707825, 0.599867901325
30, 0.692009015248, 0.80704, 0.548883764505, 0.520576728344
31, 0.669296749875, 0.80912, 0.541014923811, 0.522182391644
32, 0.697815630599, 0.81744, 0.53862039113, 0.494266483307
33, 0.674542526945, 0.81616, 0.535309707165, 0.496088599443
34, 0.701541737333, 0.82416, 0.532067413807, 0.484512755156
35, 0.669357904938, 0.80944, 0.529739946365, 0.527579837561
36, 0.689493291128, 0.82128, 0.529809175253, 0.485797326803
37, 0.711180316919, 0.82144, 0.532273978472, 0.495645324945
38, 0.674205602718, 0.8152, 0.519923968077, 0.526505079985
39, 0.712512689537, 0.82336, 0.521191457272, 0.485865599155
40, 0.733475423716, 0.82912, 0.521964630842, 0.456086648226
41, 0.698057270378, 0.828, 0.512891893387, 0.470987589359
42, 0.748145780105, 0.83648, 0.506027078152, 0.445649981499
43, 0.701124116911, 0.82288, 0.504560646296, 0.46906883812
44, 0.732727390144, 0.83552, 0.508864248276, 0.43887787509
45, 0.726157895637, 0.82176, 0.500825182915, 0.479287501812
46, 0.720707074212, 0.83088, 0.510523476362, 0.470295699596
47, 0.72670357589, 0.83696, 0.511676048756, 0.438120626688
48, 0.73564083959, 0.8352, 0.496182189226, 0.447411876678
49, 0.706689928476, 0.83376, 0.496523501396, 0.439177731514
50, 0.718659690541, 0.83136, 0.473176723242, 0.463887632132
51, 0.757267060183, 0.82144, 0.487616214991, 0.471741022587
52, 0.741709511853, 0.83968, 0.486128963947, 0.437884355068
53, 0.73534064846, 0.83744, 0.484874158263, 0.421748334169
54, 0.742507032545, 0.84144, 0.47127886939, 0.422181664228
55, 0.732109287927, 0.82992, 0.474684220791, 0.469847423315
56, 0.758719144, 0.84288, 0.486743108988, 0.431976493359
57, 0.711267579396, 0.83504, 0.467662097692, 0.440919667482
58, 0.739938257691, 0.84192, 0.475225492239, 0.432974672556
59, 0.762879249796, 0.8376, 0.475645246863, 0.436149963617
60, 0.75468183221, 0.84544, 0.459276850939, 0.415934813976
61, 0.731230074181, 0.8288, 0.468521288633, 0.449732785225
62, 0.76012981243, 0.83824, 0.459752578974, 0.433727586269
63, 0.741410161484, 0.84, 0.463684282303, 0.42412260747
64, 0.74871771547, 0.83936, 0.468751692057, 0.434927445173
65, 0.769692172976, 0.83952, 0.447778816462, 0.431704753876
66, 0.748262656241, 0.8408, 0.459258992672, 0.425287351131
67, 0.785423440797, 0.85712, 0.461150256634, 0.403401305437
68, 0.744779563217, 0.82912, 0.459613921642, 0.442387691975
69, 0.77044542363, 0.84608, 0.464001475334, 0.414245792389
70, 0.769583277776, 0.85328, 0.443379837513, 0.392383037806
71, 0.760359473829, 0.85264, 0.453723935604, 0.40653465867
72, 0.747485750427, 0.83952, 0.450660704136, 0.420752437115
73, 0.739557286762, 0.84656, 0.446657401562, 0.407091234446
74, 0.765230546802, 0.85056, 0.440680994272, 0.399287328005
75, 0.758159418301, 0.85024, 0.443894258738, 0.422072212696
76, 0.763201810526, 0.84608, 0.436531919718, 0.410320383549
77, 0.777650077388, 0.85184, 0.432131491899, 0.404292857409
78, 0.759950703019, 0.84928, 0.438894255996, 0.410912129641
79, 0.77445021107, 0.85616, 0.43957542181, 0.392570914507
80, 0.793984851392, 0.86592, 0.427115782619, 0.375107544899
81, 0.746243184945, 0.85168, 0.442198632121, 0.39941829133
82, 0.754314039426, 0.81936, 0.432859634399, 0.488253704786
83, 0.773304796532, 0.8552, 0.432950512886, 0.387298938751
84, 0.759134086756, 0.84704, 0.431394879341, 0.409803734779
85, 0.783198681188, 0.85984, 0.42385796535, 0.382702348232
86, 0.776347362518, 0.86032, 0.425685395479, 0.383841499567
87, 0.749757535475, 0.84752, 0.429664370656, 0.39256441021
88, 0.793390565545, 0.85824, 0.428370626211, 0.38428648591
89, 0.766039388412, 0.85696, 0.431774511933, 0.392606388092
90, 0.762524301509, 0.85024, 0.412123602152, 0.387065817356
91, 0.744857365632, 0.84544, 0.428403438807, 0.414140869141
92, 0.797301373299, 0.85984, 0.418209493876, 0.386049507856
93, 0.770491366665, 0.85488, 0.429757780313, 0.38432022953
94, 0.772173081247, 0.85808, 0.41407154429, 0.382810104847
95, 0.78667979243, 0.85296, 0.412027269602, 0.404120688677
